state,season,date,latitude,longitude,description
Rhode Island,Fall,1974-09-20,41.45,-71.5, Bicycling student has night encounter
Oklahoma,Fall,1973-09-28,35.3011,-99.1702, Motorist and children have daylight sighting near Burns Flat.
Ohio,Summer,1971-08-01,39.38745,-81.67339, Sighting and vocalizations at a home in Wayne National Forest
New York,Fall,2010-09-01,41.29873,-73.73717, Fishermen and Law Enforcement Officer Report Three Class A Sightings in Same Area Within a Year near the town of Somers
Nevada,Fall,1970-09-01,39.592,-119.975, Father and son hear vocalizations on Peavine Mt
New Hampshire,Summer,2016-06-07,43.41549,-72.33093, Dawn sighting at Stevens Brook outside Claremont
Nebraska,Spring,2018-05-25,42.15685,-96.34203, Possible daylight sighting of a Sasquatch on the Omaha Indian Reservation
North Dakota,Spring,2000-04-21,48.25422,-101.3166, Hunter describes described being stalked near Minot
North Carolina,Spring,1988-03-15,35.74875,-82.26195, Deep impressions seen in the snow
Montana,Summer,1971-12-15,45.31278,-109.6449, Female fly fisherman's lucid recollection of classic territorial intimidation behavior of Saquatches ; 6mi NE of Mystic Lake
Montana,Winter,1988-12-15,46.05292,-112.571, Two separate sets of large footprints found
Montana,Summer,2007-08-15,45.9754,-112.4554, Hiker spots a bigfoot in the mountains east of Butte
North Carolina,Summer,2011-08-21,35.75278,-82.22121, Daylight sighting by camper at Black Mountain Campground near Blue Ridge Parkway
New Jersey,Summer,2005-12-21,40.76345,-75.11044, Motorist has nightime sighting near Harmony
New Jersey,Winter,2007-03-31,40.8192,-74.85561, Nighttime sighting by motorist near Mansfield
New Jersey,Summer,2015-10-02,40.89452,-74.79077, Recollection of a possible late night stalking on Waterloo Road in Allamuchy
New Mexico,Spring,2000-05-17,36.599,-105.4113, Professor and students discover series of large footprints crossing high mountain trail
New Mexico,Fall,2006-10-02,36.19625,-105.5596," Possible vocalizations, knocks heard by hunters in the Gallegos peak area"
New Mexico,Winter,2011-02-20,36.65339,-105.9678, Couple driving home has night time sighting near Tres Piedras
Nevada,Summer,1972-08-15,39.679,-119.6665, Three boys encounter sasquatch in eroded terrain
Nevada,Summer,1972-08-25,39.679,-119.6665, Four feral dogs chase sasquatch
Ohio,Summer,1978-07-04,39.40877,-81.73172," Early evening sighting by two children, near Layman"
Ohio,Winter,1978-11-01,39.54739,-81.39101, A man relates a series of occurrences on the family farm involving an upright walking hair covered creature
Ohio,Summer,1984-07-04,39.46019,-81.54855, White hair covered creature seen at the edge of a cornfield
Ohio,Summer,1990-07-01,39.3731,-81.65929, Three boys playing games witness a huge creature walking through their front yard
Ohio,Fall,2009-10-31,39.42635,-81.37085, Group finds possible Bigfoot track in Wayne National Forest - w/photos of track and cast
Rhode Island,Summer,1978-07-15,41.432,-71.65183, Mother and son see sasquatch closeup from road
Rhode Island,Fall,2006-11-03,41.4596,-71.58906, Possible stick formation found by hiker in the Great Swamp
Montana,Spring,2004-03-14,47.62167,-115.3903, Woman reports riverbank sighting
Montana,Winter,1979-12-31,47.70667,-104.1922, Motorist sees long-haired upright animal walking across snow-covered road
Montana,Fall,1991-10-11,46.02962,-113.1198, Hunting guide recalls an encouter with a Bigfoot crouching behind a root ball in Bowls Creek
Montana,Winter,2011-01-08,47.66724,-108.6873, Tow truck driver watches a creature drag an elk away from accident site south of Malta on Hwy. 191
Montana,Spring,1989-05-20,46.01833,-110.3308," While scouting a timbered hill at 7000', hikers see a bipedal animal stand up & walk away"
Montana,Summer,1977-07-14,46.97694,-113.8381, Young horseback rider has a face-to-face encounter in the Rattlesnake Wilderness Area
Montana,Spring,2010-05-29,46.76389,-110.7781, Close daylight sighting by a fisherman near White Sulphur Springs
Montana,Fall,1978-10-21,45.12266,-111.563, Cousins view a large biped figure on opening day near Virginia City
Montana,Summer,1978-07-04,48.27011,-115.6418, Four climbers report repeated vocalizations
Montana,Summer,1977-08-16,46.76472,-111.8861, Fly Fisherman sees a hairy bipedal creature while trout fishing
Montana,Winter,2019-03-09,46.24,-111.75," Possible Daylight Sighting near Tizer Lakes, reported by snowmobilers"
Montana,Fall,1994-09-30,46.18694,-113.6925," Campers hear something ""running"" through camp & find very large footprints"
Montana,Fall,1982-10-02,48.36139,-113.1236, Horse-riding witnesses see hairy bipedal animal cross trail on Blackfeet Reservation
Montana,Summer,1993-06-03,45.22417,-111.125," Three backpackers see a large, massive upright animal running on two legs through the brush in Gallatin Nat'l Forest"
Montana,Fall,2010-03-20,47.60413,-113.7593, Possible sighting and wood knocks heard near Swan Lake
Montana,Fall,2012-09-16,47.57549,-144.0265, Deer hunter on the Flathead Indian Reservation passes a tall biped on the roadside
Montana,Spring,2019-06-12,47.98521,-113.9818, Daylight sighting by motorist on Crane Mountain outside Kalispell
Montana,Spring,1993-07-03,45.14665,-111.0834, Three field biologists describe possible sasquatch vocalizations outside Big Sky
Montana,Summer,2015-11-26,45.7922,-111.3637, Horse boarder hears possible vocalizations late at night west of Belgrade
Montana,Spring,2016-05-30,45.61331,-110.7897, Possible tracks found along hiking trail outside Bozeman
Montana,Summer,2003-06-18,48.68,-113.82, Video taken of running biped near Avalanche in Glacier National Park
